"color","nome","tag","url","img1","img2"
"bg-danger","Chapeuzinho","menina","img/chapeuzinho.png","img/chapeuzinho1.png","img/chapeuzinho2.png"
"bg-orangered","Bem-Vindo a Selva","menino","img/selva.png","img/selva1.png","img/selva2.png"
